Point,U[m/s],V[m/s],W[m/s],k[m2/s2],Vs/UH,Vs_mod[m/s],Vs_mod/UH,Vs_exp/UH,((Vs_mod-Vs_exp)/UH)^2
58,2.433 ,-1.325 ,0.174 ,0.750 ,0.454 ,3.034 ,0.497 ,0.543 ,0.002
59,-0.369 ,-1.018 ,0.244 ,0.498 ,0.182 ,1.492 ,0.244 ,0.405 ,0.026
60,-0.357 ,1.028 ,0.243 ,0.501 ,0.182 ,1.498 ,0.245 ,0.405 ,0.026
61,2.456 ,1.336 ,0.173 ,0.746 ,0.458 ,3.056 ,0.500 ,0.543 ,0.002
62,3.255 ,0.529 ,0.018 ,0.695 ,0.540 ,3.502 ,0.573 ,0.461 ,0.013
63,-0.628 ,-0.111 ,0.108 ,0.544 ,0.106 ,1.228 ,0.201 ,0.264 ,0.004
64,-0.941 ,0.613 ,0.019 ,0.594 ,0.184 ,1.565 ,0.256 ,0.298 ,0.002
65,-0.492 ,-0.832 ,-0.144 ,0.541 ,0.160 ,1.427 ,0.234 ,0.352 ,0.014
66,-0.224 ,-0.619 ,-0.062 ,0.523 ,0.108 ,1.217 ,0.199 ,0.314 ,0.013
67,1.793 ,-0.291 ,0.130 ,0.769 ,0.298 ,2.203 ,0.361 ,0.395 ,0.001
68,0.823 ,-0.865 ,0.076 ,0.734 ,0.196 ,1.702 ,0.279 ,0.380 ,0.010
69,-0.226 ,-0.715 ,0.160 ,0.255 ,0.125 ,1.048 ,0.171 ,0.341 ,0.029
70,-0.223 ,0.714 ,0.159 ,0.256 ,0.125 ,1.048 ,0.171 ,0.341 ,0.029
71,0.841 ,0.838 ,0.073 ,0.743 ,0.195 ,1.703 ,0.279 ,0.380 ,0.010
72,1.848 ,0.220 ,0.135 ,0.747 ,0.305 ,2.230 ,0.365 ,0.395 ,0.001
73,-0.196 ,0.537 ,-0.048 ,0.494 ,0.094 ,1.147 ,0.188 ,0.314 ,0.016
74,-0.436 ,0.717 ,-0.131 ,0.524 ,0.139 ,1.330 ,0.218 ,0.352 ,0.018
75,2.173 ,-0.230 ,0.075 ,0.430 ,0.358 ,2.374 ,0.389 ,0.450 ,0.004
76,2.171 ,0.200 ,0.084 ,0.424 ,0.357 ,2.368 ,0.388 ,0.450 ,0.004
77,1.954 ,0.065 ,0.057 ,0.303 ,0.320 ,2.106 ,0.345 ,0.450 ,0.011
78,1.950 ,-0.056 ,0.055 ,0.301 ,0.319 ,2.100 ,0.344 ,0.450 ,0.011
