No,N,NNE,NE,ENE,E,ESE,SE,SSE,S,SSW,SW,WSW,W,WNW,NW,NNW
61,0.54 ,0.55 ,0.59 ,0.38 ,0.28 ,0.34 ,0.48 ,0.28 ,0.52 ,0.46 ,0.57 ,0.57 ,0.36 ,0.26 ,0.34 ,0.36
62,0.69 ,0.71 ,0.63 ,0.38 ,0.59 ,0.55 ,0.50 ,0.30 ,0.32 ,0.36 ,0.50 ,0.57 ,0.38 ,0.20 ,0.42 ,0.40
63,0.40 ,0.30 ,0.40 ,0.50 ,0.54 ,0.48 ,0.40 ,0.52 ,0.69 ,0.69 ,0.59 ,0.36 ,0.32 ,0.57 ,0.55 ,0.46
64,0.44 ,0.44 ,0.57 ,0.40 ,0.22 ,0.18 ,0.34 ,0.48 ,0.55 ,0.54 ,0.50 ,0.34 ,0.32 ,0.55 ,0.50 ,0.42
65,0.30 ,0.42 ,0.50 ,0.42 ,0.50 ,0.30 ,0.24 ,0.20 ,0.24 ,0.36 ,0.50 ,0.36 ,0.28 ,0.38 ,0.32 ,0.26
66,0.32 ,0.38 ,0.38 ,0.30 ,0.32 ,0.36 ,0.20 ,0.10 ,0.18 ,0.14 ,0.36 ,0.61 ,0.65 ,0.63 ,0.50 ,0.22
67,0.50 ,0.50 ,0.36 ,0.32 ,0.26 ,0.32 ,0.34 ,0.36 ,0.22 ,0.32 ,0.28 ,0.32 ,0.34 ,0.38 ,0.36 ,0.48
68,0.28 ,0.34 ,0.46 ,0.20 ,0.16 ,0.14 ,0.30 ,0.50 ,0.40 ,0.44 ,0.40 ,0.32 ,0.20 ,0.32 ,0.22 ,0.22
69,0.24 ,0.28 ,0.32 ,0.22 ,0.22 ,0.38 ,0.20 ,0.18 ,0.16 ,0.22 ,0.24 ,0.30 ,0.32 ,0.38 ,0.26 ,0.22
70,0.34 ,0.30 ,0.24 ,0.40 ,0.46 ,0.30 ,0.24 ,0.18 ,0.32 ,0.26 ,0.32 ,0.44 ,0.36 ,0.38 ,0.36 ,0.34
71,0.50 ,0.61 ,0.59 ,0.46 ,0.40 ,0.36 ,0.28 ,0.26 ,0.44 ,0.38 ,0.42 ,0.50 ,0.46 ,0.32 ,0.32 ,0.34
72,0.38 ,0.52 ,0.55 ,0.50 ,0.46 ,0.38 ,0.28 ,0.30 ,0.48 ,0.42 ,0.40 ,0.40 ,0.34 ,0.40 ,0.44 ,0.30
73,0.52 ,0.54 ,0.57 ,0.30 ,0.28 ,0.36 ,0.38 ,0.38 ,0.38 ,0.28 ,0.32 ,0.32 ,0.28 ,0.44 ,0.36 ,0.42
74,0.26 ,0.16 ,0.10 ,0.10 ,0.10 ,0.18 ,0.10 ,0.12 ,0.24 ,0.30 ,0.28 ,0.26 ,0.28 ,0.20 ,0.20 ,0.22
75,0.63 ,0.57 ,0.42 ,0.24 ,0.20 ,0.26 ,0.46 ,0.54 ,0.44 ,0.40 ,0.44 ,0.30 ,0.26 ,0.50 ,0.44 ,0.54
76,0.50 ,0.48 ,0.30 ,0.24 ,0.34 ,0.42 ,0.50 ,0.59 ,0.54 ,0.42 ,0.42 ,0.38 ,0.30 ,0.46 ,0.44 ,0.44
77,0.46 ,0.44 ,0.54 ,0.28 ,0.28 ,0.24 ,0.40 ,0.48 ,0.32 ,0.32 ,0.40 ,0.32 ,0.32 ,0.42 ,0.44 ,0.54
78,0.28 ,0.32 ,0.42 ,0.36 ,0.38 ,0.32 ,0.22 ,0.24 ,0.52 ,0.54 ,0.63 ,0.50 ,0.36 ,0.40 ,0.28 ,0.24
79,0.32 ,0.44 ,0.46 ,0.36 ,0.22 ,0.42 ,0.28 ,0.18 ,0.40 ,0.55 ,0.63 ,0.52 ,0.36 ,0.26 ,0.20 ,0.18
80,0.54 ,0.46 ,0.44 ,0.46 ,0.34 ,0.42 ,0.55 ,0.59 ,0.63 ,0.57 ,0.46 ,0.44 ,0.34 ,0.36 ,0.42 ,0.42
